dataset,classifier,seed,outer_fold,method,selected,n_test,accuracy,balanced_accuracy,precision_macro,recall_macro,macro_f1,roc_auc_ovr_macro,fit_predict_seconds,archived_accuracy,archived_macro_f1,delta_accuracy_vs_archive,delta_macro_f1_vs_archive
DTD,resmlp,42,4,best_individual,siglip_base,1880,0.8446808510638298,0.8446808510638297,0.8467566782429216,0.8446808510638297,0.8433534247425193,0.990935765494912,6.718966467999962,0.8446808510638298,0.842920872801616,0.0,0.00043255194090330296
DTD,resmlp,42,4,full_concat,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,1880,0.8712765957446809,0.8712765957446809,0.871332658408451,0.8712765957446809,0.8698403036644201,0.993893963922294,28.48910370699997,0.8659574468085106,0.8642355376726556,0.005319148936170248,0.005604765991764515
DTD,resmlp,42,4,gfs,siglip_base+dinov2_large+dinov2_small+eva02_base+drlbp,1880,0.8702127659574468,0.8702127659574468,0.8723190664560384,0.8702127659574468,0.869250637386459,0.9925500115633672,12.520870668999976,0.8643617021276596,0.8629628330658107,0.005851063829787173,0.006287804320648349
DTD,resmlp,42,4,topk_individual,siglip_base+dinov2_large+dinov2+dinov2_small+eva02_base,1880,0.8664893617021276,0.8664893617021276,0.8705221681769035,0.8664893617021276,0.8650679874794384,0.9926497456059203,8.768127326000013,0.8664893617021276,0.8650679874794384,0.0,0.0
DTD,resmlp,42,5,best_homogeneous_self_supervised,siglip_base+dinov2_large+dinov2_small,1880,0.8648936170212767,0.8648936170212765,0.8684154884010666,0.8648936170212765,0.8632220551691369,0.9925763182238667,7.2943032979999884,0.8595744680851064,0.8581605906005554,0.005319148936170248,0.005061464568581475
DTD,resmlp,42,5,best_individual,siglip_base,1880,0.8351063829787234,0.8351063829787234,0.8367372675714372,0.8351063829787234,0.8334587702552165,0.9883334296947272,12.54291138100001,0.8409574468085106,0.8390150612976585,-0.005851063829787173,-0.00555629104244193
DTD,resmlp,42,5,full_concat,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,1880,0.8601063829787234,0.8601063829787233,0.8619197782488893,0.8601063829787233,0.8588180533150854,0.9929292900092507,37.91161842899993,0.8574468085106383,0.85537729072341,0.0026595744680851796,0.0034407625916754725
DTD,resmlp,42,5,gfs,siglip_base+dinov2_large+eva02_base+dinov2_small+swin_t+densenet121+convnext_v2_t,1880,0.8638297872340426,0.8638297872340426,0.8656498197097687,0.8638297872340426,0.8624993911863419,0.992789373265495,10.033040461000041,0.8707446808510638,0.8697527800631069,-0.006914893617021245,-0.007253388876764966
DTD,resmlp,42,5,topk_individual,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+convnext_v2_t+swin_t,1880,0.8680851063829788,0.8680851063829789,0.869835253477718,0.8680851063829789,0.8670909033664213,0.9913208256244217,12.583961722999902,0.8680851063829788,0.8670909033664213,0.0,0.0
DTD,resmlp,42,6,best_homogeneous_self_supervised,siglip_base+dinov2+dinov2_large+dinov2_small,1880,0.8680851063829788,0.8680851063829789,0.8691830960314755,0.8680851063829789,0.8661486927422114,0.9919469819611472,7.527929939000046,0.8664893617021276,0.8645532525291423,0.0015957446808511078,0.0015954402130691214
