dataset,classifier,seed,outer_fold,run_mode_gfs,method_gfs,macro_f1_gfs,accuracy_gfs,k_gfs,dimensions_gfs,fit_seconds_gfs,selected_gfs,inner_f1_gfs,run_mode_topk,method_topk,macro_f1_topk,accuracy_topk,k_topk,dimensions_topk,fit_seconds_topk,selected_topk,inner_f1_topk,delta_gfs_topk,dimension_delta
FMD,resmlp,2026,1,full,gfs,0.9698472259447868,0.97,3,1846,1.406926288997056,siglip_base+dinov2_large+lbp,0.9849882621657332,full,topk_individual,0.9548503528991334,0.955,3,2304,2.4433740669992403,siglip_base+eva02_base+dinov2,0.9581201485819436,0.014996873045653336,-458
FMD,resmlp,2026,2,full,gfs,0.9899937460913072,0.99,5,3712,1.2359388089971617,siglip_base+dinov2_large+dinov2+dinov2_small+eva02_base,0.9799891673367284,full,topk_individual,0.9899937460913072,0.99,5,3712,2.783728492000592,siglip_base+dinov2+eva02_base+dinov2_small+dinov2_large,0.9417513469014648,0.0,0
FMD,resmlp,2026,3,full,gfs,0.9799718103890118,0.98,6,3010,0.9624383629998192,siglip_base+dinov2_large+gabor+eva02_base+glcm+deit_s,0.9787212601975116,full,topk_individual,0.9802376485303316,0.98,6,4480,3.512857106999945,siglip_base+dinov2+eva02_base+dinov2_large+dinov2_small+convnext_v2_t,0.9350500242607525,-0.0002658381413197519,-1470
FMD,resmlp,2026,4,full,gfs,0.9849906191369604,0.985,4,1890,1.4939028389999294,siglip_base+dinov2_large+glcm+drlbp,0.9799216909534624,full,topk_individual,0.9899937460913072,0.99,4,3328,2.2941526630002045,siglip_base+dinov2+eva02_base+dinov2_large,0.9477393653575756,-0.005003126954346793,-1438
CUReT,svm,42,0,full,gfs,0.9982176407303268,0.9982181040627228,4,3940,8.406687780996435,dinov2_large+vit_b16+dinov2_small+hog,0.9996266503750466,full,topk_individual,0.9982178935113888,0.9982181040627228,4,2944,7.112908877000336,dinov2_large+dinov2+dinov2_small+vit_b16,0.9892630606566908,-2.5278106197124117e-07,996
CUReT,svm,42,1,full,gfs,0.9992871574045556,0.9992872416250892,5,4864,9.978635480991215,dinov2_large+efficientnet_b0+eva02_base+densenet121+dinov2,0.9978372025930828,full,topk_individual,0.9996435787022778,0.9996436208125444,5,3712,8.340165110999806,dinov2_large+dinov2+dinov2_small+vit_b16+swin_t,0.9813031862960024,-0.0003564212977221759,1152
CUReT,resmlp,42,0,full,gfs,0.9971484189474268,0.9971489665003564,2,1152,3.0418398390029324,dinov2_small+dinov2,0.9996578759800429,full,topk_individual,0.9975125519192036,0.9975053456878118,2,1152,9.681387959000858,dinov2+dinov2_small,0.9975096606885632,-0.0003641329717768427,0
CUReT,resmlp,42,1,full,gfs,0.9989307361068334,0.9989308624376336,4,5888,4.495707996000419,dinov2_large+resnet50+resnet101+vit_b16,0.9985378271051828,full,topk_individual,0.9964306565950624,0.9964362081254454,4,2944,3.797658343000876,dinov2_large+dinov2+dinov2_small+swin_t,0.9927820368532236,0.002500079511771003,2944
Outex13Official1360,resmlp,42,0,full,gfs,0.9423435812566644,0.9426470588235294,7,3682,1.94970753600046,dinov2_small+densenet121+dinov2_large+drlbp+glcm+swin_t+deit_s,0.9171306022408964,full,topk_individual,0.9418834643139382,0.9441176470588236,7,6016,4.750791325999671,dinov2+dinov2_large+dinov2_small+siglip_base+swin_t+efficientnet_b0+densenet121,0.8649147158863546,0.0004601169427261853,-2334
Outex13Official1360,svm,42,0,full,gfs,0.9425742649062628,0.9426470588235294,6,5936,7.00063265999961,dinov2_large+efficientnet_b0+convnext_v2_t+swin_t+resnet50+gabor,0.9104516806722688,full,topk_individual,0.9503098094722332,0.951470588235294,6,6272,6.674992582999948,dinov2_large+dinov2_small+dinov2+convnext_v2_t+resnet101+efficientnet_b0,0.8437603450471097,-0.007735544565970365,-336
