dataset,classifier,seed,outer_fold,dimensions__best_individual,dimensions__full_concat,dimensions__gfs,dimensions__homogeneous,dimensions__topk_individual,macro_f1__best_individual,macro_f1__full_concat,macro_f1__gfs,macro_f1__homogeneous,macro_f1__topk_individual,inner_best_single,k_gfs,gfs_steps,headroom,completa_menos_gfs
SoilOriginal,resmlp,42,2,768.0,20652.0,1608.0,1536.0,3072.0,0.8264756958916138,0.8236031849810864,0.853704175510621,0.816984972705556,0.8634156198492499,0.8549629265271781,4,6,0.1450370734728219,-0.030100990529534633
SoilOriginal,resmlp,42,3,768.0,20652.0,8192.0,5120.0,7168.0,0.8572243687488287,0.8816388364540659,0.9123888567798916,0.8847081120915927,0.905706287381544,0.8225043762906646,7,8,0.17749562370933536,-0.030750020325825633
SoilOriginal,resmlp,42,4,768.0,20652.0,5604.0,2304.0,5120.0,0.8789721143039786,0.8933405322846237,0.8918817572727679,0.900780512034858,0.880842575704479,0.8542790990847119,5,7,0.1457209009152881,0.0014587750118558729
SoilOriginal,resmlp,123,0,768.0,20652.0,6090.0,3456.0,6656.0,0.8568512909673334,0.8633909945017305,0.8794524272163698,0.8623464416614147,0.8837625454601127,0.854723899498572,8,8,0.14527610050142803,-0.016061432714639334
SoilOriginal,resmlp,123,1,768.0,20652.0,3528.0,2688.0,6912.0,0.8251476637393029,0.8120058940418412,0.7945628878510652,0.8110845723153849,0.7968708851086147,0.8631986823027418,7,8,0.13680131769725823,0.01744300619077599
SoilOriginal,resmlp,123,2,768.0,20652.0,2962.0,1536.0,4608.0,0.7746044513276545,0.860211780080201,0.83621000679583,0.7849867684168377,0.8207478574423952,0.8664632053061084,5,5,0.13353679469389157,0.02400177328437103
SoilOriginal,resmlp,123,3,768.0,20652.0,5808.0,1920.0,8704.0,0.924215028506117,0.8796729356810581,0.9167416994615804,0.888608223891727,0.8646548518643208,0.8309447862229533,8,8,0.1690552137770467,-0.03706876378052226
SoilOriginal,resmlp,123,4,768.0,20652.0,3398.0,1536.0,5120.0,0.8511323416500971,0.917383125834472,0.9008072795015424,0.8727641122821382,0.9255009974030816,0.8352446086889486,5,7,0.16475539131105144,0.016575846332929633
SoilOriginal,resmlp,2026,0,768.0,20652.0,2304.0,1536.0,2304.0,0.8405729313918796,0.885719670090582,0.8422740255930538,0.8456129041906534,0.8687134128624932,0.860138090819417,3,5,0.13986190918058305,0.04344564449752819
SoilOriginal,resmlp,2026,1,768.0,20652.0,4608.0,2688.0,3072.0,0.8573812750839599,0.8893932479708446,0.8421131630349492,0.876961540251416,0.8886879867509407,0.8450829065112067,4,6,0.15491709348879334,0.04728008493589542
SoilOriginal,resmlp,2026,2,768.0,20652.0,5712.0,1536.0,5632.0,0.8933417772703488,0.8700757142022202,0.8435142381019735,0.9093157194227806,0.8817462335965682,0.8390353718375628,7,8,0.16096462816243717,0.026561476100246728
SoilOriginal,resmlp,2026,3,768.0,20652.0,4528.0,2304.0,7936.0,0.883375027430327,0.8801468657491692,0.9078224653137544,0.907335959484635,0.8737366972357478,0.8381788282496048,8,8,0.16182117175039523,-0.027675599564585207
SoilOriginal,resmlp,2026,4,768.0,20652.0,4884.0,2304.0,5888.0,0.8123025071088552,0.8132633910357286,0.858369216516108,0.7980741878265097,0.8430239018327121,0.8786915406228305,6,6,0.1213084593771695,-0.045105825480379336
