experiment,dataset,strategy,extractor,clf,mean_f1,std_f1,n_samples,emb_dim
Exp3_concat_prefix,FMD,k=2,lbp + glcm,knn,0.2436652165533184,0.0306851403687221,n/a,72
Exp3_concat_prefix,FMD,k=2,lbp + glcm,rf,0.3385623718243048,0.0330615647622785,n/a,72
Exp3_concat_prefix,FMD,k=3,lbp + glcm + gabor,svm,0.2122856167320059,0.0125255490476582,n/a,120
Exp3_concat_prefix,FMD,k=3,lbp + glcm + gabor,knn,0.2608935244113904,0.0335286498481547,n/a,120
Exp3_concat_prefix,FMD,k=3,lbp + glcm + gabor,rf,0.38330219925752,0.0315186170883227,n/a,120
Exp3_concat_prefix,FMD,k=4,lbp + glcm + gabor + hog,svm,0.3116065895606227,0.0257650610299072,n/a,1884
Exp3_concat_prefix,FMD,k=4,lbp + glcm + gabor + hog,knn,0.1845837107410174,0.0144476283416702,n/a,1884
Exp3_concat_prefix,FMD,k=4,lbp + glcm + gabor + hog,rf,0.3725014638340932,0.0192029010321992,n/a,1884
Exp3_concat_prefix,FMD,k=5,lbp + glcm + gabor + hog + drlbp,svm,0.3193465660769531,0.0205310325649284,n/a,1964
Exp3_concat_prefix,FMD,k=5,lbp + glcm + gabor + hog + drlbp,knn,0.1977339842713366,0.0182176578716746,n/a,1964
Exp3_concat_prefix,FMD,k=5,lbp + glcm + gabor + hog + drlbp,rf,0.3639410628593893,0.0122589855400088,n/a,1964
Exp3_concat_prefix,FMD,k=6,lbp + glcm + gabor + hog + drlbp + resnet50,svm,0.8325789006406252,0.0156179262040881,n/a,4012
Exp3_concat_prefix,FMD,k=6,lbp + glcm + gabor + hog + drlbp + resnet50,knn,0.7284961828252872,0.0134401587226453,n/a,4012
Exp3_concat_prefix,FMD,k=6,lbp + glcm + gabor + hog + drlbp + resnet50,rf,0.782354106070744,0.0291080162062874,n/a,4012
Exp3_concat_prefix,FMD,k=7,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,svm,0.8953807434411114,0.0132389447630069,n/a,4780
