dataset,extractors,clf,mean_f1,std_f1,single_dim,k,concat_dim
FMD,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s,rf,0.8434894952173216,0.0180156728792788,7980,11,7980
FMD,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2,svm,0.9400518463327072,0.0155571588245533,8748,12,8748
FMD,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2,knn,0.8766266919656621,0.0187219020400598,8748,12,8748
FMD,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2,rf,0.8793799180595793,0.0116909551661263,8748,12,8748
HVD_glaucoma,lbp,svm,0.4197891406068171,0.011508132538197,54,1,54
HVD_glaucoma,lbp,knn,0.554152657407536,0.0115807245526233,54,1,54
HVD_glaucoma,lbp,rf,0.5834963437479014,0.0334398070033498,54,1,54
HVD_glaucoma,lbp + glcm,svm,0.4274009611290721,0.0084284322248665,72,2,72
HVD_glaucoma,lbp + glcm,knn,0.5619413333346529,0.0086770561875011,72,2,72
HVD_glaucoma,lbp + glcm,rf,0.5804342762217164,0.0318141479138196,72,2,72
HVD_glaucoma,lbp + glcm + gabor,svm,0.456492151139323,0.0148765291666552,120,3,120
HVD_glaucoma,lbp + glcm + gabor,knn,0.5590375421605155,0.0296630610331853,120,3,120
HVD_glaucoma,lbp + glcm + gabor,rf,0.6104607928290416,0.0255992398435694,120,3,120
HVD_glaucoma,lbp + glcm + gabor + hog,svm,0.5113113298463356,0.0167088813124405,1884,4,1884
HVD_glaucoma,lbp + glcm + gabor + hog,knn,0.5848633914644765,0.0306613720576615,1884,4,1884
HVD_glaucoma,lbp + glcm + gabor + hog,rf,0.5516630603141793,0.0293437889028635,1884,4,1884
HVD_glaucoma,lbp + glcm + gabor + hog + drlbp,svm,0.5156927350520791,0.0218544466830743,1964,5,1964
HVD_glaucoma,lbp + glcm + gabor + hog + drlbp,knn,0.5844693968331276,0.026462494385024,1964,5,1964
HVD_glaucoma,lbp + glcm + gabor + hog + drlbp,rf,0.5525735131148659,0.0232277950403095,1964,5,1964
HVD_glaucoma,lbp + glcm + gabor + hog + drlbp + resnet50,svm,0.6880444129710719,0.0178900935556705,4012,6,4012
HVD_glaucoma,lbp + glcm + gabor + hog + drlbp + resnet50,knn,0.6196581477091686,0.0217194991380718,4012,6,4012
HVD_glaucoma,lbp + glcm + gabor + hog + drlbp + resnet50,rf,0.6197534459799432,0.0367589658466495,4012,6,4012
HVD_glaucoma,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t,svm,0.7205114110718819,0.0128663221672493,4780,7,4780
HVD_glaucoma,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t,knn,0.671472660783502,0.0287132036684097,4780,7,4780
HVD_glaucoma,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t,rf,0.6672965398443135,0.0207306271821144,4780,7,4780
HVD_glaucoma,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0,svm,0.7394482810600977,0.0066009522049993,6060,8,6060
HVD_glaucoma,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0,knn,0.67240579244752,0.0152825222097379,6060,8,6060
HVD_glaucoma,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0,rf,0.6846508349933803,0.0298049894833455,6060,8,6060
HVD_glaucoma,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16,svm,0.7610807400723291,0.0186469155216021,6828,9,6828
HVD_glaucoma,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16,knn,0.6932630995903466,0.0061518539075674,6828,9,6828
HVD_glaucoma,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16,rf,0.7022291849607518,0.0203982103224175,6828,9,6828
HVD_glaucoma,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t,svm,0.768819269047757,0.0198498778229668,7596,10,7596
HVD_glaucoma,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t,knn,0.7206583734330566,0.0240860383372084,7596,10,7596
