dataset,strategy,class,support,precision,recall,f1
FMD,GFS subset,glass,100,0.9504950495049505,0.96,0.9552238805970149
FMD,GFS subset,leather,100,1.0,0.94,0.9690721649484536
FMD,GFS subset,metal,100,0.9056603773584906,0.96,0.9320388349514563
FMD,GFS subset,paper,100,0.9411764705882353,0.96,0.9504950495049505
FMD,GFS subset,plastic,100,0.9292929292929293,0.92,0.9246231155778895
FMD,GFS subset,stone,100,0.9896907216494846,0.96,0.9746192893401016
FMD,GFS subset,water,100,1.0,0.98,0.98989898989899
FMD,GFS subset,wood,100,0.9791666666666666,0.94,0.9591836734693877
FMD,Full concat,fabric,100,0.9074074074074074,0.98,0.9423076923076923
FMD,Full concat,foliage,100,0.9702970297029703,0.98,0.9751243781094527
FMD,Full concat,glass,100,0.9108910891089109,0.92,0.9154228855721394
FMD,Full concat,leather,100,0.9893617021276596,0.93,0.9587628865979382
FMD,Full concat,metal,100,0.8785046728971962,0.94,0.9082125603864735
FMD,Full concat,paper,100,0.94,0.94,0.94
FMD,Full concat,plastic,100,0.9263157894736842,0.88,0.9025641025641026
FMD,Full concat,stone,100,0.9595959595959596,0.95,0.9547738693467337
FMD,Full concat,water,100,0.9895833333333334,0.95,0.9693877551020408
FMD,Full concat,wood,100,0.9393939393939394,0.93,0.9346733668341709
KTH-TIPS2,Mejor individual,aluminium_foil,396,1.0,1.0,1.0
KTH-TIPS2,Mejor individual,brown_bread,432,0.9976905311778291,1.0,0.9988439306358381
